,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
Biscuit,2.1,6.5,1.8,0.0,2.7,0.4,180.0
Bread roll,0.6,1.2,0.7,0.0,2.8,0.1,30.0
"Bread, white",0.6,1.2,0.7,0.0,2.8,0.1,30.0
Cake,3.5,5.3,2.9,50.0,0.6,28.2,68.0
Cookie,3.4,11.8,2.7,51.0,0.5,22.0,116.0
Donut,5.4,11.8,2.7,51.0,0.5,22.0,116.0
"Infant cereal, Cerelac",0.5,0.2,0.2,5.0,0.7,0.2,290.0
Macaroni or spaghetti,0.2,0.1,0.4,0.0,2.8,0.4,288.0
"Maize, cracked, cooked",0.2,0.3,0.5,0.0,2.4,0.1,264.0
"Maize, dried, raw",0.5,0.9,1.6,0.0,7.3,0.3,800.0
"Maize, flour, dry",0.5,0.9,1.6,0.0,7.3,0.3,800.0
"Maize, green, cooked",0.5,0.9,1.4,0.0,6.4,3.4,71.0
"Maize, on the cob, immature",0.1,0.2,0.3,0.0,1.5,0.8,17.0
"Maize, yellow, flour",0.5,0.9,1.6,0.0,7.3,0.3,800.0
"Millet, bulrush",0.9,1.1,2.2,0.0,24.7,1.6,870.0
"Millet, finger, grain or flour",0.3,0.6,0.3,0.0,13.4,0.2,520.0
Mixed porridge flour (maize and oil),2.2,6.2,6.1,0.0,7.0,1.8,1037.2
