Macronutrients,Vitamins ,Minerals,Amino Acids
Energy,Vitamin A,Calcium,Tryptophan
Animal kcal,Animal vitamin A,Phophorus,Threonin
Total protein,Vitamin D,Magnesium,Isoleucine
Animal protein,Vitamin C,Potassium,Leucine
MFP protein,Vitamin E,Sodium,Lysine
Total Fat,Thiamine,Iron,Valine
Carbohydrate by difference,Riboflavin,*MFP-iron,Methionine
Sucrose,Niacin,Zinc,Cystine
Saturated fats,Folate,Copper,Tyrosine
Monounsaturated fats,"Vitamin B6,",Manganese,Phenylalanine
Polyunsaturated fats,Vitamin B12,,Arginine
Cholesterol,Pantothenic Acid,,Histidine
Fiber,,,
Phytic acid,,,
