,,"The Different Uses of
Food Composition
Databases","The Different Uses of
Food Composition
Databases","The Different Uses of
Food Composition
Databases"
,RDA,"Source claim
1/6 of the RDA)","Rich source
50% of the RDA)",Unit
Vitamin A,800.0,133.0,400.0,micro g
Vitamin D ,5.0,0.83,2023-05-02 00:00:00,micro g
Vitamin E ,10.0,2023-07-01 00:00:00,5.0,mg
Vitamin C ,60.0,10.0,30.0,mg
Thiamin ,2023-04-01 00:00:00,0.23,0.7,mg
Riboflavin,2023-06-01 00:00:00,0.27,0.8,mg
Niacin ,18.0,3.0,9.0,mg
Vitamin B,2.0,0.3,1.0,mg
Folic acid ,200.0,33.3,100.0,micro g
Vitamin B,1.0,0.16,0.5,micro g
Biotin,0.15,0.03,0.08,mg
Pantothenic acid ,6.0,1.0,3.0,mg
Calcium,800.0,133.0,400.0,mg
Phosphorus,800.0,133.0,400.0,mg
Iron,14.0,3.0,7.0,mg
Magnesium,300.0,50.0,150.0,mg
Zinc,15.0,2023-05-02 00:00:00,2023-05-07 00:00:00,mg
lodine,150.0,25.0,75.0,micro g
