,"Tanzania Food
Composition Tables",
VITAMINS,Description,
VITA,Vitamin A in retinol equivalents (micrograms),
A_VITA,Animal source vitamin A in retinol equivalents (micrograms),
VITD,Vitamin D in micrograms,
VITE,Vitamin E in tocopherol equivalents,
VITC,Vitamin C in milligrams,
THIA,Thiamin in milligrams,
RIBF,Riboflavin in milligrams,
NIA,"Niacin, pre-formed in milligrams",
VITB6,Vitamin B6 in milligrams,
FOL,Folate in micrograms,
VITB12,Vitamin B12 in micrograms,
PANTAC,Pantothenic acid in milligrams,
